id;data;valor
D0A1ddq201W0Q0TR00;10/11/2023;20.0
0M0A010Y0mAgT210hQ;20/06/2021;25.0
0A0GX01HHT00R002Q1;11/04/2022;55.0
Amg080o3AQ0000g11B;06/07/2022;60.0
TD100ZAQ0m01y00ZV2;07/12/2023;20.0
010A800nARQ10eA30a;22/01/2023;45.0
r00Ym000OVAA5E0001;08/06/2022;60.0
1009w1PV0300AA0CT8;11/04/2022;20.0
NI0z3n0E01081AA00P;22/02/2021;25.0
O01A03A00AltH8100R;10/11/2023;20.0
1u01E00MA00AD30n08;01/06/2021;39.0
031r010J0EDZ0p0AA8;05/08/2023;80.0
030VF001QP81A0Awy0;30/05/2022;20.0
090Rl8PA1001D00Af3;20/04/2023;25.0
00Q0c01A01TL2QQL30;20/05/2023;45.0
l20100TQA000B7ux1U;05/02/2023;50.0
AbAM0010E3101J080N;25/06/2023;40.0
0R000KkA001K0uAz50;30/11/2023;30.0
w0A1000A00C0M30ey5;06/02/2021;50.0
TRS02o010AQN100V40;06/09/2023;25.0
A03AnRlg10A0080Q10;07/07/2022;39.0
0j0p31FT01A0030AJ8;06/02/2021;20.0
O10j13Az0M0800JuA0;25/01/2021;40.0
010Tt01PX000Q2QAJA;20/03/2023;50.0
10hAA5q000700x0xA0;20/10/2023;70.0
00bt0AA005QdS01000;20/05/2023;45.0
0801NBA0A0f10R01S3;06/07/2022;20.0
8030qD0Ba10900AiA1;30/11/2023;39.0
0000Ayv000uAK10MS5;05/12/2022;70.0
DAT000123mr0Q0W1R0;21/08/2021;55.0
Ab00R0138F00P0jA01;07/06/2023;50.0
810T3Dz7A000A0I0m1;05/02/2023;45.0
50i200A10010A0A40y;05/02/2023;25.0
B0Vm2A1F0T0010vQ00;11/04/2022;20.0
XA10010I3aQUA0T080;06/07/2022;61.0
110Q2PO10ATL00a0T0;24/05/2021;60.0
100JJ0Az08A50n13Q0;05/04/2023;35.0
t00A3A0F0PN100S81z;05/03/2023;30.0
00IQT1DRf20A0007T1;28/05/2023;100.0
1GT2000AsLRA0gQ100;24/05/2021;50.0
VJtA0pT08031A0001Y;05/06/2021;70.0
30A8R00C0Ak10c01Fr;05/03/2023;25.0
5IZ1000Qt012TT00YA;07/06/2023;20.0
Ql0F012A000QCS0T11;22/01/2023;30.0
0A3208Ai0F110N003T;20/09/2023;65.0
AXq10l0S0005u000AL;10/11/2023;35.0
3A10Y80NO00J00A1x7;07/11/2022;30.0
1psNY0A080A30T01J0;05/04/2023;50.0
001AsA500S0e00xA0A;28/01/2023;39.0
0UP03A1800CA03C0y1;17/12/2023;45.0
J0Q3ZA01u1087000A0;06/02/2021;35.0
3II2tQA001T0b010c0;05/10/2022;25.0
050100A0AG1p4M005L;20/10/2023;80.0
A1A0808E307s0010Qo;20/09/2023;30.0
e0QT1A0T00zQ2J0T10;07/12/2023;50.0
0bA00TM01SQw02J0e1;05/10/2022;30.0
i0BTAj000pA011038h;16/03/2021;35.0
J01xAZ000030TFc2Q1;07/12/2023;100.0
00AA030MvRM001138f;20/07/2021;45.0
k50x10050000Hq0AIA;28/01/2023;39.0
30Qp2J1CcTZ000A100;10/11/2023;20.0
001qSAPAf011B00050;31/01/2022;50.0
RzD03c0Y0010V8A01A;20/03/2021;35.0
10JP040210T1AQ0Q0P;11/05/2022;30.0
A02t500b10r0H00C0A;06/07/2022;25.0
A8p3AA1000X00S10IA;20/04/2023;20.0
081LR30AXH0001A08V;05/07/2021;20.0
VyVA2m01A0K00TQ100;04/06/2023;49.0
RY0T0S00200zVA0Q11;11/04/2022;60.0
Bc8lA0A000w1001P03;20/10/2023;70.0
A0aRR0130Gk00c108A;20/04/2022;45.0
K3000AYG01AX1800P5;27/07/2022;80.0
0uA38anD00010VA01C;11/05/2022;45.0
0t1A03V5W8N0A01R00;23/02/2022;50.0
F103A0Op0c80A01V0o;20/04/2021;20.0
AM1O30d01y008A00Re;05/04/2023;75.0
0A8308STAw0J020110;20/03/2023;20.0
11GUG430A0A80b0700;22/01/2023;75.0
4x0AA10kN000TY0050;30/08/2023;39.0
G0r0003A115010AA0B;31/01/2022;20.0
0050CznnA0S01000jA;06/01/2023;60.0
505000xmq1000RAQA0;21/12/2022;100.0
14n0J08s03JS001AA0;20/07/2023;45.0
00T019OQ12Y0cAx00D;10/11/2023;40.0
Tuc0P0tQD001A120P0;04/01/2021;20.0
QBA12T0140Z0Z00cK0;05/05/2021;30.0
D0Q00b2AZ0r1J10T00;05/06/2021;30.0
Ae0j8RA10u003P0N10;07/08/2021;38.0
j0Q01eU00AH1TS200U;05/04/2021;70.0
A0001004105AyC00N2;27/02/2021;39.0
0A2m070Bb01T01YiQ0;20/01/2021;40.0
b1tTQ10xBA02v000Q0;20/01/2021;45.0
0731G010S0630ZA08A;30/11/2023;35.0
L0IZ020l10wA0YTQ10;10/08/2023;25.0
00RNATh381000Ah0A1;06/01/2023;51.88
O01A03A00AltH8100R;05/08/2022;31.0
002100TV0Qi0eA1FPo;05/06/2021;45.0
0i01EA108nTVAV0030;05/02/2023;20.0
00A1D1V0AwRn8I3000;22/03/2022;55.0
05xq010I00R510A0A0;06/01/2021;39.0
J031B18000A60Asd30;29/06/2023;39.0
00hu01TT1T0OA0QX20;22/02/2021;55.0
A5QqA00tL0001000x5;20/04/2021;55.0
0Ap020LD00QQT1u106;08/06/2022;25.0
0FT00U1vA320yQ00A1;05/04/2023;20.0
00f0010fQsAp0AO050;05/01/2021;40.0
F308AI19AL000S0a10;05/01/2021;20.0
KP10A8A30N100q000Y;06/09/2023;35.0
Q24000SA0111I00T4F;05/01/2021;65.0
A90Z00IT3A1180zI00;24/11/2023;20.0
Cs500000301y1SI0AA;15/03/2022;30.0
a001uw0AQA12b0l00T;06/02/2021;50.0
k03AB10019A05KY000;08/06/2022;50.0
AS0n18tL01AS00003N;21/12/2022;20.0
50r00t0A1000rKBH0A;20/07/2023;35.0
TA00T0Q103A1r00I8f;05/01/2022;45.0
UzCQ0i01Q010002TAm;20/01/2021;20.0
010As008230iG1NF0A;05/04/2023;45.0
0R000KkA001K0uAz50;05/04/2023;30.0
A00310NX0CL8On00A1;05/01/2022;20.0
0Q00A0005A0xq1Ll50;05/04/2023;45.0
TT12QZ00vO001WAX00;20/07/2021;70.0
TU0060W0H1100AR21Q;05/08/2022;50.0
AA001800J3T001kB6A;20/10/2022;50.0
5020bAN0A0001E0Qw0;22/03/2022;40.0
hA0100Q05TfQDo0102;07/11/2022;20.0
wq1r00A0q0QA00P005;07/12/2023;20.0
6D00A7101yAE30008N;05/04/2023;20.0
031L098F2AA0T10005;05/10/2022;40.0
T00g10JT02QU0XA0Q1;08/06/2022;20.0
Z1230I000O1A0A80Tz;15/07/2022;20.0
31vA800E1Lo04D0A00;10/06/2022;25.0
10hAA5q000700x0xA0;17/12/2023;70.0
0T00050X2A1s10DRQH;05/10/2022;25.0
0A029RTh0I1PQ00L10;07/12/2023;50.0
C00S1q0TA0200Q1Tiu;20/04/2021;25.0
00JR10Aau0A830N0m1;22/01/2023;45.0
0080F13E1A009oT20A;20/07/2023;35.0
0Q1A08003Ap1800Br1;05/07/2023;50.0
AQ0021Z210TR0H00PT;05/01/2022;30.0
1308A1isJ0000BAe30;06/09/2023;50.0
0TY2004f0IQL10AY01;10/11/2023;20.0
AQT0PL0F0N0Q120501;05/03/2023;40.0
n1nB100QV0T002301A;20/09/2023;45.0
QT08AW01000D120zkF;06/09/2022;30.0
TV020B1pAae010Q00m;22/02/2021;50.0
H000A1ITy0QQY70102;06/09/2023;45.0
0A11008A3QS0Jk0002;05/01/2022;50.0
A0L1u01200QR0OOjT0;30/05/2022;35.0
140TA0NJ2ZU000Q01y;05/06/2021;30.0
00AAu51Yw00G0aS000;20/04/2021;20.0
HAQR0T0f001W10L020;06/01/2023;35.0
0H0201QTBF015A0S0Q;10/11/2023;45.0
00B01f00103ZAb50AK;08/01/2023;30.0
G01X10Q20CA0P0R0T8;24/11/2023;50.0
0M102QY00T0Q20Ak1T;20/04/2022;55.0
00A1O3Y00PA018M08X;20/03/2021;50.0
A0Q000211TMs0060DQ;06/09/2023;30.0
00w0RbA2011T0QcU0T;05/03/2023;20.0
00VQQV8v0301A00A11;20/05/2023;45.0
M00Q2001TNA10R120Q;05/04/2021;25.0
qBA18000J1pad0A300;08/02/2022;55.0
bB00A15c10000A0iC0;23/02/2022;55.0
0P0200V1p10QbHAT0Q;21/08/2021;35.0
0A1003Ra00210QRTA1;05/12/2022;35.0
Q2OYo00H10Ht1T000A;20/09/2022;20.0
62A00008A00s3J13B1;13/05/2022;71.0
AT011L2000lox0QD0Q;05/05/2021;45.0
D108010A3f0HO0Anh0;07/06/2023;20.0
cAtS5C00100v0000uA;10/03/2022;25.0
00VJA81A0001S18x03;20/08/2023;20.0
hAQt9TB000T01w1002;27/04/2022;30.0
Q00T2H1T0o1F1A000P;31/01/2022;60.0
T0201S001Q0uT9A0Jj;05/08/2022;50.0
jEz00A15000A00R00x;27/06/2022;50.0
0RTcQ01H0012Xb00AH;10/11/2023;30.0
100A2o01YT000QZYh5;05/10/2022;25.0
1200Z0TQh00Q1A0TsL;05/10/2022;25.0
1Y00fu0FQAy0T2100T;05/08/2023;45.0
00Q0mAqwA5Iq001000;22/02/2021;50.0
TQZ001A2B00Y10w06T;30/05/2022;35.0
0TscA102010UT0TC0Q;10/11/2023;30.0
n01AT0A00Ex0U00j50;04/02/2022;39.0
00UB0110bp0A05A4X0;16/08/2023;45.0
0pA1SF0oVw2010Q00T;06/05/2023;20.0
100A0TaqQN010EI002;10/11/2023;45.0
1dF0100R6A000A83Xl;24/05/2021;40.0
0cJS10QeU0TA200v01;05/02/2023;45.0
Ap1Ti8F100000J03A0;07/03/2021;25.0
t0K00000Y0T1A2F1jQ;06/02/2021;20.0
0d18A30LEwN0010RA0;08/03/2023;20.0
PQ001A0P00QT0O1Z02;15/03/2023;30.0
Q2OYo00H10Ht1T000A;20/06/2021;20.0
pQ007F131A10A0080Q;21/11/2022;45.0
lWQHoL0N1200T0100A;05/08/2023;30.0
A033bRD180I1A0000G;28/01/2023;39.0
00A1A038V10R0Ad00T;05/06/2021;40.0
0Q03XAA03000Jn1851;20/05/2023;25.0
AF0V0CQT0g0m010201;08/10/2023;20.0
2108A3S810000AJ0I0;05/12/2022;70.0
D0A1ddq201W0Q0TR00;05/06/2021;20.0
M00A00P1T2pQUT10P0;05/08/2022;30.0
vTTQ0QA0K0z10M0201;20/10/2023;30.0
A500Y0tcQd51000A00;20/03/2023;55.0
0Q02TD0011p0AyV9J0;07/06/2023;20.0
PT02Q00S110R50AJO0;22/02/2023;30.0
00sAe00F100A000A5Z;13/05/2022;50.0
05O000sAf0000g1YMA;20/06/2021;25.0
r1TQm000A012o0dQ0B;06/05/2023;25.0
0R0001A3QD0I12x0T4;06/07/2022;35.0
1Au00Q0ToBi0tW2001;05/03/2023;20.0
0T9A000Al18100SBE3;20/03/2021;50.0
QgW0AT2010u0xR100D;20/04/2023;45.0
